"","Call Code Description","total"
"242","SHOPLIFTING; IN PROGRESS AND/OR ACTOR ON SCENE; INJURY NOT APPLICABLE",7
"243","TERRORISTIC THREATS; IN PROGRESS AND/OR ACTOR ON SCENE; ATTEMPT TO CAUSE INJURY",7
"244","THEFT OF SERVICE; IN PROGRESS AND/OR ACTOR ON SCENE; INJURY NOT APPLICABLE",7
"245","CELL FALSE 911; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE",6
"246","DAMAGE COMMERICIAL; IN PROGRESS AND/OR ACTOR ON SCENE; INJURY NOT APPLICABLE",6
"247","HOLD-UP ALARM; IN PROGRESS AND/OR ACTOR ON SCENE; INJURY NOT APPLICABLE",6
"248","ROB AT RESIDENCE; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE",6
"249","ROB PERSON; IN PROGRESS AND/OR ACTOR ON SCENE; ATTEMPT TO CAUSE INJURY",6
"250","ROB PERSON; PERSON CRIME OCCURRED MORE THAN 10 MINUTES AGO; INJURY NOT APPLICABLE",6
"251","SIGN DOWN/TRAFFIC LIGHT OUT OF ORDER; IN PROGRESS AND/OR ACTOR ON SCENE; INJURY NOT APPLICABLE",6
"252","SUSPICIOUS PERSON/CONDITION; PERSON CRIME OCCURRED WITHIN 10 MINUTES; INJURY NOT APPLICABLE",6
"253","TAMPERING WITH A VEHICLE; IN PROGRESS AND/OR ACTOR ON SCENE; INJURY NOT APPLICABLE",6
"254","ASSAULT NO WEAPON; IN PROGRESS AND/OR ACTOR ON SCENE; INJURY IMMINENT OR PROBABLE",5
"255","ASSAULT WEAPON; PERSON CRIME OCCURRED WITHIN 10 MINUTES; INJURY IMMINENT OR PROBABLE",5
"256","BURG ALARM RESIDENTIAL PROP; IN PROGRESS AND/OR ACTOR ON SCENE; INJURY NOT APPLICABLE",5
"257","BURGLARY COMERCIAL PROP; PERSON CRIME OCCURRED WITHIN 10 MINUTES; INJURY NOT APPLICABLE",5
"258","DAMAGE MOTOR VEHICLE; PROPERTY CRIME OCCURRED WITHIN 15 MINUTES; INJURY NOT APPLICABLE",5
"259","FIREWORKS; TIME ELAPSED NOT APPLICABLE; ATTEMPT TO CAUSE INJURY",5
"260","LEAVING THE SCENE OF A ACCIDENT ( PROPERTY DAMAGE ONLY ); PROPERTY CRIME OCCURRED WITHIN 15 MINUTES; INJURY NOT APPLICABLE",5
"261","ODOR OF GAS / TOXIC SPILL; IN PROGRESS AND/OR ACTOR ON SCENE; INJURY NOT APPLICABLE",5
"262","PEDESTRIAN STRUCK; IN PROGRESS AND/OR ACTOR ON SCENE; INJURY NOT APPLICABLE",5
"263","POSSESSION STOLEN PROP; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE",5
"264","ROB PERSON; PERSON CRIME OCCURRED WITHIN 10 MINUTES; ATTEMPT TO CAUSE INJURY",5
"265","ROB PERSON; TIME ELAPSED NOT APPLICABLE; INJURY",5
"266","TELEPHONE HARASSMENT; PERSON CRIME OCCURRED WITHIN 10 MINUTES; INJURY NOT APPLICABLE",5
"267","ASSAULT WEAPON; PERSON CRIME OCCURRED MORE THAN 10 MINUTES AGO; INJURY",4
"268","BURGLARY PUBLIC PROP; IN PROGRESS AND/OR ACTOR ON SCENE; INJURY NOT APPLICABLE",4
"269","DAMAGE OTHER PROP; PERSON CRIME OCCURRED WITHIN 10 MINUTES; INJURY NOT APPLICABLE",4
"270","DISABLED VEHICLE; PERSON CRIME OCCURRED WITHIN 10 MINUTES; INJURY NOT APPLICABLE",4
"271","INDUSTRIAL / CONSTRUCTION MISHAP; IN PROGRESS AND/OR ACTOR ON SCENE; INJURY",4
"272","LEWDNESS; PERSON CRIME OCCURRED WITHIN 10 MINUTES; INJURY NOT APPLICABLE",4
"273","OTHER ASSISTANCE; IN PROGRESS AND/OR ACTOR ON SCENE; ATTEMPT TO CAUSE INJURY",4
"274","OTHER INTER/CONFLICT; PROPERTY CRIME OCCURRED WITHIN 15 MINUTES; INJURY NOT APPLICABLE",4
"275","PANIC ALARM; IN PROGRESS AND/OR ACTOR ON SCENE; INJURY NOT APPLICABLE",4
"276","PEDESTRIAN STRUCK; TIME ELAPSED NOT APPLICABLE; ATTEMPT TO CAUSE INJURY",4
"277","PREVENT BREACH OF PEACE; PERSON CRIME OCCURRED WITHIN 10 MINUTES; INJURY NOT APPLICABLE",4
"278","PROWLER; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE",4
"279","REFERRED TO ANOTHER AGENCY; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE",4
"280","ROB AT RESIDENCE; PERSON CRIME OCCURRED WITHIN 10 MINUTES; INJURY NOT APPLICABLE",4
"281","ROB PERSON; PERSON CRIME OCCURRED WITHIN 10 MINUTES; INJURY",4
"282","SUSPICIOUS PERSON/CONDITION; IN PROGRESS AND/OR ACTOR ON SCENE; ATTEMPT TO CAUSE INJURY",4
"283","SUSPICIOUS PERSON/CONDITION; PROPERTY CRIME OCCURRED WITHIN 15 MINUTES; INJURY NOT APPLICABLE",4
"284","SUSPICIOUS PERSON/CONDITION; TIME ELAPSED NOT APPLICABLE; INJURY",4
"285","WEAPON PERSON WITH; IN PROGRESS AND/OR ACTOR ON SCENE; ATTEMPT TO CAUSE INJURY",4
"286","ABANDONED/APPARENT STOLEN; IN PROGRESS AND/OR ACTOR ON SCENE; INJURY NOT APPLICABLE",3
"287","BOMB THREAT; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE",3
"288","DAMAGE OTHER PROP; IN PROGRESS AND/OR ACTOR ON SCENE; INJURY NOT APPLICABLE",3
"289","FIREARM PERSON WITH; IN PROGRESS AND/OR ACTOR ON SCENE; ATTEMPT TO CAUSE INJURY",3
"290","INTERFERE W/ CUSTODY; IN PROGRESS AND/OR ACTOR ON SCENE; INJURY NOT APPLICABLE",3
"291","MEET OTHER AGENCY; PERSON CRIME OCCURRED WITHIN 10 MINUTES; INJURY IMMINENT OR PROBABLE",3
"292","NOTIFICATION; IN PROGRESS AND/OR ACTOR ON SCENE; INJURY NOT APPLICABLE",3
"293","OTHER ASSISTANCE; IN PROGRESS AND/OR ACTOR ON SCENE; INJURY",3
"294","OTHER PARKING VIOLATION; PERSON CRIME OCCURRED WITHIN 10 MINUTES; INJURY NOT APPLICABLE",3
"295","OTHER VEHICLE/TRAFFIC PROBLEM; PERSON CRIME OCCURRED WITHIN 10 MINUTES; INJURY NOT APPLICABLE",3
"296","ROADWAY OBSTRUCTION; IN PROGRESS AND/OR ACTOR ON SCENE; INJURY NOT APPLICABLE",3
"297","ROB AT RESIDENCE; IN PROGRESS AND/OR ACTOR ON SCENE; INJURY NOT APPLICABLE",3
"298","ROB COMERCIAL; PROPERTY CRIME OCCURRED WITHIN 15 MINUTES; INJURY NOT APPLICABLE",3
"299","ROB PERSON; IN PROGRESS AND/OR ACTOR ON SCENE; INJURY",3
"300","STREET FIGHT ( NO WEAPONS ); TIME ELAPSED NOT APPLICABLE; INJURY",3
"301","TELEPHONE HARASSMENT; IN PROGRESS AND/OR ACTOR ON SCENE; INJURY NOT APPLICABLE",3
"302","TERRORISTIC THREATS; PERSON CRIME OCCURRED WITHIN 10 MINUTES; INJURY NOT APPLICABLE",3
"303","THEFT FROM PERSON; PERSON CRIME OCCURRED WITHIN 10 MINUTES; INJURY NOT APPLICABLE",3
"304","THEFT PROP FROM VEHICLE; PROPERTY CRIME OCCURRED WITHIN 15 MINUTES; INJURY NOT APPLICABLE",3
"305","ANIMAL COMPLAINT; IN PROGRESS AND/OR ACTOR ON SCENE; ATTEMPT TO CAUSE INJURY",2
"306","ASSAULT NO WEAPON; PERSON CRIME OCCURRED MORE THAN 10 MINUTES AGO; INJURY",2
"307","ASSAULT NO WEAPON; TIME ELAPSED NOT APPLICABLE; ATTEMPT TO CAUSE INJURY",2
"308","ASSAULT WEAPON; IN PROGRESS AND/OR ACTOR ON SCENE; INJURY IMMINENT OR PROBABLE",2
"309","ASSAULT WEAPON; PERSON CRIME OCCURRED MORE THAN 10 MINUTES AGO; INJURY NOT APPLICABLE",2
"310","ASSAULT WEAPON; PROPERTY CRIME OCCURRED WITHIN 15 MINUTES; INJURY NOT APPLICABLE",2
"311","BURGLARY OTHER STRUCTURE/AREA; IN PROGRESS AND/OR ACTOR ON SCENE; INJURY NOT APPLICABLE",2
"312","BURGLARY RESIDENTIAL PROP; IN PROGRESS AND/OR ACTOR ON SCENE; ATTEMPT TO CAUSE INJURY",2
"313","DAMAGE COMMERICIAL; PERSON CRIME OCCURRED WITHIN 10 MINUTES; INJURY NOT APPLICABLE",2
"314","DAMAGE RESIDENTIAL; PROPERTY CRIME OCCURRED WITHIN 15 MINUTES; INJURY NOT APPLICABLE",2
"315","DAMAGE TO PUBLIC PROPERTY; IN PROGRESS AND/OR ACTOR ON SCENE; INJURY NOT APPLICABLE",2
"316","DAMAGE TO PUBLIC PROPERTY; PERSON CRIME OCCURRED WITHIN 10 MINUTES; INJURY NOT APPLICABLE",2
"317","DRIVEWAY PARKING VIOLATION; PERSON CRIME OCCURRED WITHIN 10 MINUTES; INJURY NOT APPLICABLE",2
"318","ELEVATOR STUCK W/OCCUPANTS; PERSON CRIME OCCURRED WITHIN 10 MINUTES; INJURY NOT APPLICABLE",2
"319","FIRE / EXPLOSION; TIME ELAPSED NOT APPLICABLE; INJURY",2
"320","FOUND WEAPON; IN PROGRESS AND/OR ACTOR ON SCENE; INJURY NOT APPLICABLE",2
"321","FRAUD; IN PROGRESS AND/OR ACTOR ON SCENE; INJURY NOT APPLICABLE",2
"322","GUNSHOTS FIRED HEARD ( NO WITNESS / VICTIM ); IN PROGRESS AND/OR ACTOR ON SCENE; ATTEMPT TO CAUSE INJURY",2
"323","HIT AND RUN (PERSON STRUCK ); IN PROGRESS AND/OR ACTOR ON SCENE; INJURY",2
"324","HOSTAGE/BARRICAD SUSPECT; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE",2
"325","INDUSTRIAL / CONSTRUCTION MISHAP; TIME ELAPSED NOT APPLICABLE; ATTEMPT TO CAUSE INJURY",2
"326","INDUSTRIAL / CONSTRUCTION MISHAP; TIME ELAPSED NOT APPLICABLE; INJURY",2
"327","LABOR DISPUTE; IN PROGRESS AND/OR ACTOR ON SCENE; INJURY NOT APPLICABLE",2
"328","LOST / MISLAID PROPERTY; PERSON CRIME OCCURRED WITHIN 10 MINUTES; INJURY NOT APPLICABLE",2
"329","MEAL; IN PROGRESS AND/OR ACTOR ON SCENE; INJURY NOT APPLICABLE",2
"330","MISSING PERSON; PERSON CRIME OCCURRED MORE THAN 10 MINUTES AGO; INJURY NOT APPLICABLE",2
"331","MISSING PERSON; PERSON CRIME OCCURRED WITHIN 10 MINUTES; INJURY NOT APPLICABLE",2
"332","NOISE; PERSON CRIME OCCURRED WITHIN 10 MINUTES; INJURY NOT APPLICABLE",2
"333","OTHER ADMIN POLICE ACTIVITY; IN PROGRESS AND/OR ACTOR ON SCENE; INJURY NOT APPLICABLE",2
"334","OTHER INTER/CONFLICT; IN PROGRESS AND/OR ACTOR ON SCENE; ATTEMPT TO CAUSE INJURY",2
"335","OTHER INTER/CONFLICT; PERSON CRIME OCCURRED WITHIN 10 MINUTES; ATTEMPT TO CAUSE INJURY",2
"336","OTHER INTER/CONFLICT; TIME ELAPSED NOT APPLICABLE; INJURY IMMINENT OR PROBABLE",2
"337","OTHER SUSPICIOUS/HAZARDOUS CIRCUMSTANCES; IN PROGRESS AND/OR ACTOR ON SCENE; INJURY NOT APPLICABLE",2
"338","OTHER SUSPICIOUS/HAZARDOUS CIRCUMSTANCES; PERSON CRIME OCCURRED WITHIN 10 MINUTES; INJURY NOT APPLICABLE",2
"339","PEDESTRIAN STRUCK; PERSON CRIME OCCURRED WITHIN 10 MINUTES; ATTEMPT TO CAUSE INJURY",2
"340","PEDESTRIAN STRUCK; PROPERTY CRIME OCCURRED MORE THAN 15 MINUTES AGO; INJURY NOT APPLICABLE",2
"341","RING BACK; PERSON CRIME OCCURRED WITHIN 10 MINUTES; INJURY NOT APPLICABLE",2
"342","ROB PERSON; PROPERTY CRIME OCCURRED MORE THAN 15 MINUTES AGO; INJURY NOT APPLICABLE",2
"343","SHOPLIFTING; PROPERTY CRIME OCCURRED WITHIN 15 MINUTES; INJURY NOT APPLICABLE",2
"344","STREET FIGHT ( NO WEAPONS ); TIME ELAPSED NOT APPLICABLE; INJURY IMMINENT OR PROBABLE",2
"345","SUSPICIOUS PERSON/CONDITION; IN PROGRESS AND/OR ACTOR ON SCENE; INJURY",2
"346","SUSPICIOUS PERSON/CONDITION; TIME ELAPSED NOT APPLICABLE; ATTEMPT TO CAUSE INJURY",2
"347","TERRORISTIC THREATS; PROPERTY CRIME OCCURRED WITHIN 15 MINUTES; INJURY NOT APPLICABLE",2
"348","THEFT OTHER PROP; TIME ELAPSED NOT APPLICABLE; INJURY",2
"349","WEAPON PERSON WITH; PROPERTY CRIME OCCURRED WITHIN 15 MINUTES; INJURY NOT APPLICABLE",2
"350","ABANDONED/APPARENT STOLEN; PERSON CRIME OCCURRED WITHIN 10 MINUTES; INJURY NOT APPLICABLE",1
"351","ABANDONED/APPARENT STOLEN; PROPERTY CRIME OCCURRED WITHIN 15 MINUTES; INJURY NOT APPLICABLE",1
"352","AMBULANCE REQUEST FOR; IN PROGRESS AND/OR ACTOR ON SCENE; INJURY IMMINENT OR PROBABLE",1
"353","AMBULANCE REQUEST FOR; PERSON CRIME OCCURRED WITHIN 10 MINUTES; ATTEMPT TO CAUSE INJURY",1
"354","AMBULANCE REQUEST FOR; PROPERTY CRIME OCCURRED MORE THAN 15 MINUTES AGO; INJURY",1
"355","ANIMAL COMPLAINT; IN PROGRESS AND/OR ACTOR ON SCENE; INJURY",1
"356","ANIMAL COMPLAINT; PERSON CRIME OCCURRED WITHIN 10 MINUTES; INJURY NOT APPLICABLE",1
"357","ANIMAL COMPLAINT; TIME ELAPSED NOT APPLICABLE; INJURY",1
"358","ASSAULT NO WEAPON; PROPERTY CRIME OCCURRED MORE THAN 15 MINUTES AGO; INJURY",1
"359","ASSAULT NO WEAPON; PROPERTY CRIME OCCURRED MORE THAN 15 MINUTES AGO; INJURY NOT APPLICABLE",1
"360","ASSAULT NO WEAPON; PROPERTY CRIME OCCURRED WITHIN 15 MINUTES; ATTEMPT TO CAUSE INJURY",1
"361","ASSIST INVALID; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE",1
"362","BAD ADDRESS FR PHONE CO; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE",1
"363","BAD CHECK/CREDIT CARD; IN PROGRESS AND/OR ACTOR ON SCENE; INJURY NOT APPLICABLE",1
"364","BOMB THREAT PUBLIC BUILDING/PLACE; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE",1
"365","BURG ALARM OTHER; IN PROGRESS AND/OR ACTOR ON SCENE; INJURY NOT APPLICABLE",1
"366","BURG ALARM RESIDENTIAL PROP; PROPERTY CRIME OCCURRED WITHIN 15 MINUTES; INJURY NOT APPLICABLE",1
"367","BURG ALARM RESIDENTIAL PROP; TIME ELAPSED NOT APPLICABLE; ATTEMPT TO CAUSE INJURY",1
"368","BURGLARY OTHER STRUCTURE/AREA; PERSON CRIME OCCURRED WITHIN 10 MINUTES; INJURY NOT APPLICABLE",1
"369","BURGLARY RESIDENTIAL PROP; PERSON CRIME OCCURRED MORE THAN 10 MINUTES AGO; INJURY NOT APPLICABLE",1
"370","CHECK WELFARE OF; PERSON CRIME OCCURRED WITHIN 10 MINUTES; INJURY NOT APPLICABLE",1
"371","CHECK WELFARE OF; TIME ELAPSED NOT APPLICABLE; INJURY",1
"372","COMMUNITY MEETING; IN PROGRESS AND/OR ACTOR ON SCENE; INJURY NOT APPLICABLE",1
"373","COURT OFF AT; IN PROGRESS AND/OR ACTOR ON SCENE; INJURY NOT APPLICABLE",1
"374","DIRECTED PATROL; IN PROGRESS AND/OR ACTOR ON SCENE; INJURY NOT APPLICABLE",1
"375","DISORDERLY CONDUCT; IN PROGRESS AND/OR ACTOR ON SCENE; ATTEMPT TO CAUSE INJURY",1
"376","ELEVATOR STUCK W/OCCUPANTS; IN PROGRESS AND/OR ACTOR ON SCENE; INJURY NOT APPLICABLE",1
"377","ESCORT WIDE LOAD/CONSTRUCTION EQUIPMENT; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE",1
"378","FIRE / EXPLOSION; IN PROGRESS AND/OR ACTOR ON SCENE; ATTEMPT TO CAUSE INJURY",1
"379","FOUND WEAPON; PERSON CRIME OCCURRED WITHIN 10 MINUTES; INJURY NOT APPLICABLE",1
"380","GUNSHOTS FIRED HEARD ( NO WITNESS / VICTIM ); PERSON CRIME OCCURRED WITHIN 10 MINUTES; ATTEMPT TO CAUSE INJURY",1
"381","GUNSHOTS FIRED HEARD ( NO WITNESS / VICTIM ); PERSON CRIME OCCURRED WITHIN 10 MINUTES; INJURY NOT APPLICABLE",1
"382","GUNSHOTS FIRED HEARD ( NO WITNESS / VICTIM ); TIME ELAPSED NOT APPLICABLE; INJURY",1
"383","HANDICAPPED PARKING; PERSON CRIME OCCURRED WITHIN 10 MINUTES; INJURY NOT APPLICABLE",1
"384","HARASSMENT(VERBAL ABUSE); PERSON CRIME OCCURRED MORE THAN 10 MINUTES AGO; INJURY NOT APPLICABLE",1
"385","HARASSMENT(VERBAL ABUSE); TIME ELAPSED NOT APPLICABLE; ATTEMPT TO CAUSE INJURY",1
"386","HAZARDOUS CONDITION; TIME ELAPSED NOT APPLICABLE; INJURY",1
"387","HIT AND RUN (PERSON STRUCK ); TIME ELAPSED NOT APPLICABLE; ATTEMPT TO CAUSE INJURY",1
"388","HOLDING ACTOR; IN PROGRESS AND/OR ACTOR ON SCENE; INJURY NOT APPLICABLE",1
"389","HOMICIDE; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE",1
"390","INDUSTRIAL / CONSTRUCTION MISHAP; IN PROGRESS AND/OR ACTOR ON SCENE; ATTEMPT TO CAUSE INJURY",1
"391","INDUSTRIAL / CONSTRUCTION MISHAP; IN PROGRESS AND/OR ACTOR ON SCENE; INJURY NOT APPLICABLE",1
"392","INTOXICATED DRIVER; IN PROGRESS AND/OR ACTOR ON SCENE; ATTEMPT TO CAUSE INJURY",1
"393","INTOXICATED PERSON; IN PROGRESS AND/OR ACTOR ON SCENE; ATTEMPT TO CAUSE INJURY",1
"394","INTOXICATED PERSON; IN PROGRESS AND/OR ACTOR ON SCENE; INJURY IMMINENT OR PROBABLE",1
"395","LEAVING THE SCENE OF A ACCIDENT ( PROPERTY DAMAGE ONLY ); IN PROGRESS AND/OR ACTOR ON SCENE; INJURY",1
"396","LEAVING THE SCENE OF A ACCIDENT ( PROPERTY DAMAGE ONLY ); PROPERTY CRIME OCCURRED MORE THAN 15 MINUTES AGO; INJURY NOT APPLICABLE",1
"397","LEAVING THE SCENE OF A ACCIDENT ( PROPERTY DAMAGE ONLY ); TIME ELAPSED NOT APPLICABLE; INJURY",1
"398","LEWDNESS; PROPERTY CRIME OCCURRED WITHIN 15 MINUTES; INJURY NOT APPLICABLE",1
"399","LOUD MUSIC; IN PROGRESS AND/OR ACTOR ON SCENE; INJURY NOT APPLICABLE",1
"400","LOUD MUSIC; PERSON CRIME OCCURRED WITHIN 10 MINUTES; INJURY NOT APPLICABLE",1
"401","MEAL; PERSON CRIME OCCURRED MORE THAN 10 MINUTES AGO; INJURY NOT APPLICABLE",1
"402","MEET OTHER AGENCY; TIME ELAPSED NOT APPLICABLE; INJURY IMMINENT OR PROBABLE",1
"403","MERCHANT/CUSTOMER DISPUTE; IN PROGRESS AND/OR ACTOR ON SCENE; ATTEMPT TO CAUSE INJURY",1
"404","MISSING PERSON; IN PROGRESS AND/OR ACTOR ON SCENE; INJURY NOT APPLICABLE",1
"405","MOTOR VEHICLE ACCIDENT; PERSON CRIME OCCURRED WITHIN 10 MINUTES; INJURY NOT APPLICABLE",1
"406","MOTOR VEHICLE RUNNING UNATTENDED; PERSON CRIME OCCURRED WITHIN 10 MINUTES; INJURY NOT APPLICABLE",1
"407","MOTOR VEHICLE THEFT; IN PROGRESS AND/OR ACTOR ON SCENE; ATTEMPT TO CAUSE INJURY",1
"408","MOTOR VEHICLE THEFT; IN PROGRESS AND/OR ACTOR ON SCENE; INJURY",1
"409","MOTOR VEHICLE THEFT; PROPERTY CRIME OCCURRED WITHIN 15 MINUTES; INJURY NOT APPLICABLE",1
"410","NEIGHBOR DISPUTE; PROPERTY CRIME OCCURRED WITHIN 15 MINUTES; INJURY NOT APPLICABLE",1
"411","NEIGHBOR DISPUTE; TIME ELAPSED NOT APPLICABLE; INJURY IMMINENT OR PROBABLE",1
"412","NO TRUCKING STREET; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE",1
"413","NOISE; IN PROGRESS AND/OR ACTOR ON SCENE; INJURY NOT APPLICABLE",1
"414","NOTIFICATION; PROPERTY CRIME OCCURRED WITHIN 15 MINUTES; INJURY NOT APPLICABLE",1
"415","OFFICER NEEDS ASSISTANCE; IN PROGRESS AND/OR ACTOR ON SCENE; INJURY NOT APPLICABLE",1
"416","OPEN 9-1-1  TELEPHONE LINE; PERSON CRIME OCCURRED WITHIN 10 MINUTES; INJURY NOT APPLICABLE",1
"417","OTHER ADMIN POLICE ACTIVITY; PERSON CRIME OCCURRED WITHIN 10 MINUTES; INJURY NOT APPLICABLE",1
"418","OTHER ASSISTANCE; PROPERTY CRIME OCCURRED WITHIN 15 MINUTES; INJURY NOT APPLICABLE",1
"419","OTHER ASSISTANCE; TIME ELAPSED NOT APPLICABLE; INJURY IMMINENT OR PROBABLE",1
"420","OTHER INTER/CONFLICT; TIME ELAPSED NOT APPLICABLE; INJURY",1
"421","OTHER PERSON CRIME; IN PROGRESS AND/OR ACTOR ON SCENE; INJURY NOT APPLICABLE",1
"422","OTHER PERSON CRIME; TIME ELAPSED NOT APPLICABLE; ATTEMPT TO CAUSE INJURY",1
"423","OTHER PUBLIC NUISANCE; PROPERTY CRIME OCCURRED WITHIN 15 MINUTES; INJURY NOT APPLICABLE",1
"424","PEDESTRIAN STRUCK; PERSON CRIME OCCURRED WITHIN 10 MINUTES; INJURY",1
"425","PEDESTRIAN STRUCK; TIME ELAPSED NOT APPLICABLE; INJURY",1
"426","PERSON SCREAMING / CALLING FOR HELP; IN PROGRESS AND/OR ACTOR ON SCENE; ATTEMPT TO CAUSE INJURY",1
"427","PERSON SCREAMING / CALLING FOR HELP; IN PROGRESS AND/OR ACTOR ON SCENE; INJURY IMMINENT OR PROBABLE",1
"428","PRISONER WATCH; IN PROGRESS AND/OR ACTOR ON SCENE; INJURY NOT APPLICABLE",1
"429","PRISONER WATCH; PERSON CRIME OCCURRED WITHIN 10 MINUTES; INJURY NOT APPLICABLE",1
"430","PROSTITUTION; IN PROGRESS AND/OR ACTOR ON SCENE; INJURY NOT APPLICABLE",1
"431","PSN - PROJECT SAFE NEIGHBORHOODS; IN PROGRESS AND/OR ACTOR ON SCENE; INJURY NOT APPLICABLE",1
"432","RACING/SPEEDING/CARELESS DRIVING; PERSON CRIME OCCURRED MORE THAN 10 MINUTES AGO; INJURY NOT APPLICABLE",1
"433","RING BACK; IN PROGRESS AND/OR ACTOR ON SCENE; INJURY NOT APPLICABLE",1
"434","ROADWAY OBSTRUCTION; PERSON CRIME OCCURRED WITHIN 10 MINUTES; INJURY NOT APPLICABLE",1
"435","ROB AT RESIDENCE; IN PROGRESS AND/OR ACTOR ON SCENE; INJURY",1
"436","ROB COMERCIAL; IN PROGRESS AND/OR ACTOR ON SCENE; ATTEMPT TO CAUSE INJURY",1
"437","ROB COMERCIAL; TIME ELAPSED NOT APPLICABLE; INJURY",1
"438","ROB FINANCIAL; IN PROGRESS AND/OR ACTOR ON SCENE; INJURY NOT APPLICABLE",1
"439","ROB FINANCIAL; PERSON CRIME OCCURRED WITHIN 10 MINUTES; INJURY NOT APPLICABLE",1
"440","ROB FINANCIAL; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE",1
"441","ROB PERSON; PROPERTY CRIME OCCURRED WITHIN 15 MINUTES; INJURY NOT APPLICABLE",1
"442","SHOPLIFTING; IN PROGRESS AND/OR ACTOR ON SCENE; INJURY",1
"443","SHOPLIFTING; PERSON CRIME OCCURRED MORE THAN 10 MINUTES AGO; INJURY NOT APPLICABLE",1
"444","SIGN DOWN/TRAFFIC LIGHT OUT OF ORDER; PERSON CRIME OCCURRED WITHIN 10 MINUTES; INJURY NOT APPLICABLE",1
"445","SLUMPER IN VEHICLE; IN PROGRESS AND/OR ACTOR ON SCENE; ATTEMPT TO CAUSE INJURY",1
"446","SLUMPER IN VEHICLE; IN PROGRESS AND/OR ACTOR ON SCENE; INJURY",1
"447","SLUMPER IN VEHICLE; IN PROGRESS AND/OR ACTOR ON SCENE; INJURY NOT APPLICABLE",1
"448","STRANGE ODOR; IN PROGRESS AND/OR ACTOR ON SCENE; INJURY NOT APPLICABLE",1
"449","STRANGE ODOR; PERSON CRIME OCCURRED WITHIN 10 MINUTES; INJURY NOT APPLICABLE",1
"450","STREET FIGHT ( NO WEAPONS ); IN PROGRESS AND/OR ACTOR ON SCENE; ATTEMPT TO CAUSE INJURY",1
"451","STREET FIGHT ( NO WEAPONS ); PERSON CRIME OCCURRED WITHIN 10 MINUTES; INJURY NOT APPLICABLE",1
"452","STREET GAMES; IN PROGRESS AND/OR ACTOR ON SCENE; INJURY NOT APPLICABLE",1
"453","SUSPICIOUS PERSON/CONDITION; PERSON CRIME OCCURRED MORE THAN 10 MINUTES AGO; INJURY NOT APPLICABLE",1
"454","SUSPICIOUS PERSON/CONDITION; PROPERTY CRIME OCCURRED MORE THAN 15 MINUTES AGO; INJURY NOT APPLICABLE",1
"455","SUSPICIOUS PERSON/CONDITION; TIME ELAPSED NOT APPLICABLE; INJURY IMMINENT OR PROBABLE",1
"456","TELEPHONE HARASSMENT; PROPERTY CRIME OCCURRED WITHIN 15 MINUTES; INJURY NOT APPLICABLE",1
"457","TELEPHONE HARASSMENT; TIME ELAPSED NOT APPLICABLE; ATTEMPT TO CAUSE INJURY",1
"458","TERRORISTIC THREATS; PERSON CRIME OCCURRED MORE THAN 10 MINUTES AGO; INJURY NOT APPLICABLE",1
"459","TESTING CODES FOR MDC TRAINING; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE",1
"460","THEFT OF SERVICE; PERSON CRIME OCCURRED WITHIN 10 MINUTES; INJURY NOT APPLICABLE",1
"461","THEFT OTHER PROP; PERSON CRIME OCCURRED MORE THAN 10 MINUTES AGO; INJURY NOT APPLICABLE",1
"462","TRAFFIC CONGESTION; IN PROGRESS AND/OR ACTOR ON SCENE; INJURY NOT APPLICABLE",1
"463","TRAFFIC STOP; TIME ELAPSED NOT APPLICABLE; INJURY",1
"464","TRANSPORTATION; IN PROGRESS AND/OR ACTOR ON SCENE; INJURY NOT APPLICABLE",1
"465","TRANSPORTATION; PERSON CRIME OCCURRED MORE THAN 10 MINUTES AGO; INJURY NOT APPLICABLE",1
"466","TRANSPORTATION; TIME ELAPSED NOT APPLICABLE; INJURY",1
"467","USE/SALE OF DRUGS; PERSON CRIME OCCURRED MORE THAN 10 MINUTES AGO; INJURY NOT APPLICABLE",1
"468","UTILITY BREAK / INTERRUPTION; IN PROGRESS AND/OR ACTOR ON SCENE; INJURY NOT APPLICABLE",1
"469","UTILITY BREAK / INTERRUPTION; PERSON CRIME OCCURRED WITHIN 10 MINUTES; INJURY NOT APPLICABLE",1
"470","VOIP FALSE 911 (VOICE OVER INTERNET); TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE",1
